"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that 20 / 4 equals 5","679","testBasicDivisionPass()","","2026-04-03","passed","2026-04-03","","tests.BasicTest","tests.BasicTest","testBasicDivisionPass"
"Verify that 17 % 5 equals 2","654","testBasicModuloPass()","","2026-04-03","passed","2026-04-03","","tests.BasicTest","tests.BasicTest","testBasicModuloPass"
"Verify that 10 / 2 equals 5","731","testComplexDivisionPass()","","2026-04-03","passed","2026-04-03","","tests.ComplexMathTest","tests.ComplexMathTest","testComplexDivisionPass"
"Verify that 2 + 2 equals 4","647","testAllurePass3()","","2026-04-03","passed","2026-04-03","","tests.MathTest","tests.MathTest","testAllurePass3"
"Verify that 1 equals 1","665","testAllurePass2()","","2026-04-03","passed","2026-04-03","","tests.MathTest","tests.MathTest","testAllurePass2"
"Verify that 1 + 2 equals 3","643","testAllurePass4()","","2026-04-03","passed","2026-04-03","","tests.MathTest","tests.MathTest","testAllurePass4"
"Verify that 2 * 3 equals 7","748","testComplexMultiplicationFail()","","2026-04-03","failed","2026-04-03","","tests.ComplexMathTest","tests.ComplexMathTest","testComplexMultiplicationFail"
"Verify that 3 * 3 equals 9","697","testComplexSquaringPass()","","2026-04-03","passed","2026-04-03","","tests.ComplexMathTest","tests.ComplexMathTest","testComplexSquaringPass"
"Verify that 1 + 2 equals 1","702","testAllureFail()","","2026-04-03","failed","2026-04-03","","tests.MathTest","tests.MathTest","testAllureFail"
"Verify that 2 + 2 equals 5","823","testAllureFail2()","","2026-04-03","failed","2026-04-03","","tests.MathTest","tests.MathTest","testAllureFail2"
"Verify that 10 / 2 equals 3","6920","testComplexDivisionFail()","","2026-04-03","failed","2026-04-03","","tests.ComplexMathTest","tests.ComplexMathTest","testComplexDivisionFail"
"Verify that 3 * 3 equals 8","740","testComplexSquaringFail()","","2026-04-03","failed","2026-04-03","","tests.ComplexMathTest","tests.ComplexMathTest","testComplexSquaringFail"
"Verify that 2 + 3 equals 5","662","testBasicAdditionPass()","","2026-04-03","passed","2026-04-03","","tests.BasicTest","tests.BasicTest","testBasicAdditionPass"
"Verify that 10 - 4 equals 6","671","testBasicSubtractionPass()","","2026-04-03","passed","2026-04-03","","tests.BasicTest","tests.BasicTest","testBasicSubtractionPass"
"Verify that 2 + 3 equals 6","779","testBasicAdditionFail()","","2026-04-03","failed","2026-04-03","","tests.BasicTest","tests.BasicTest","testBasicAdditionFail"
"Verify that 1 + 1 equals 2","658","testAllurePass()","","2026-04-03","passed","2026-04-03","","tests.MathTest","tests.MathTest","testAllurePass"
"Verify that 2 * 3 equals 6","719","testComplexMultiplicationPass()","","2026-04-03","passed","2026-04-03","","tests.ComplexMathTest","tests.ComplexMathTest","testComplexMultiplicationPass"
"Verify that 4 * 5 equals 20","662","testBasicMultiplicationPass()","","2026-04-03","passed","2026-04-03","","tests.BasicTest","tests.BasicTest","testBasicMultiplicationPass"
